image,region,version,tone_evenness_score
00027.png,under-eyes,a_degradation_17,0.13052583666271977
00036.png,left-cheek,original_roi,0.21094189567949234
00036.png,right-cheek,original_roi,0.22783880460416245
00036.png,bottom-face,original_roi,0.20616171017549687
00036.png,forehead,original_roi,0.04589397904176299
00036.png,under-eyes,original_roi,0.20305019953791323
00036.png,left-cheek,a_degradation_11,0.2171153722904947
00036.png,right-cheek,a_degradation_11,0.2418479639328992
00036.png,bottom-face,a_degradation_11,0.2037235171762396
00036.png,forehead,a_degradation_11,0.04608385704782059
00036.png,under-eyes,a_degradation_11,0.19581320460508442
00036.png,left-cheek,a_degradation_17,0.21127834122295044
00036.png,right-cheek,a_degradation_17,0.23980290613195968
00036.png,bottom-face,a_degradation_17,0.18611132752515797
00036.png,forehead,a_degradation_17,0.045760202223701286
00036.png,under-eyes,a_degradation_17,0.19615834148310843
00040.png,left-cheek,original_roi,0.20981257506515064
00040.png,right-cheek,original_roi,0.24203659086798193
00040.png,bottom-face,original_roi,0.16031546880201383
00040.png,forehead,original_roi,0.20288867819201897
00040.png,under-eyes,original_roi,0.19969609067339394
00040.png,left-cheek,a_degradation_11,0.21480145409634746
00040.png,right-cheek,a_degradation_11,0.2406869529504683
00040.png,bottom-face,a_degradation_11,0.15594656307588153
00040.png,forehead,a_degradation_11,0.20022172399766944
00040.png,under-eyes,a_degradation_11,0.18868338905327886
00040.png,left-cheek,a_degradation_17,0.21654899526573998
00040.png,right-cheek,a_degradation_17,0.22488534647638045
00040.png,bottom-face,a_degradation_17,0.14837521686761448
00040.png,forehead,a_degradation_17,0.19497866021659174
00040.png,under-eyes,a_degradation_17,0.19287613637668466
00045.png,left-cheek,original_roi,0.314793020540362
00045.png,right-cheek,original_roi,0.21532499314233958
00045.png,bottom-face,original_roi,0.25353159739620884
00045.png,forehead,original_roi,0.23009968192560712
00045.png,under-eyes,original_roi,0.20328818014881836
00045.png,left-cheek,a_degradation_11,0.30093232178230633
00045.png,right-cheek,a_degradation_11,0.2036359678871973
00045.png,bottom-face,a_degradation_11,0.24602009297084756
00045.png,forehead,a_degradation_11,0.2063260755042034
00045.png,under-eyes,a_degradation_11,0.1924845764554704
00045.png,left-cheek,a_degradation_17,0.26701669504648723
00045.png,right-cheek,a_degradation_17,0.1757790522744581
00045.png,bottom-face,a_degradation_17,0.2179624891866235
00045.png,forehead,a_degradation_17,0.18828195512589402
00045.png,under-eyes,a_degradation_17,0.18457219835232627
00048.png,left-cheek,original_roi,0.22845955733171952
00048.png,right-cheek,original_roi,0.23122504189899
00048.png,bottom-face,original_roi,0.1811387592960819
00048.png,forehead,original_roi,0.2238271098146421
00048.png,under-eyes,original_roi,0.1917841518183535
