image,region,version,evenness_score
00027.png,left-cheek,original_roi,0.005209776972918536
00027.png,right-cheek,original_roi,0.004482266666166821
00027.png,bottom-face,original_roi,0.005911862186748985
00027.png,forehead,original_roi,0.00458856850797906
00027.png,under-eyes,original_roi,0.004882147790801074
00027.png,left-cheek,smooth_1_sigma_1.5,0.005518848908295279
00027.png,right-cheek,smooth_1_sigma_1.5,0.004691532423248871
00027.png,bottom-face,smooth_1_sigma_1.5,0.006457209669705596
00027.png,forehead,smooth_1_sigma_1.5,0.004860341911302726
00027.png,under-eyes,smooth_1_sigma_1.5,0.00522057016097131
00027.png,left-cheek,smooth_2_sigma_2.5,0.00558777491561919
00027.png,right-cheek,smooth_2_sigma_2.5,0.004734148179239605
00027.png,bottom-face,smooth_2_sigma_2.5,0.006579444546496789
00027.png,forehead,smooth_2_sigma_2.5,0.004919720770812501
00027.png,under-eyes,smooth_2_sigma_2.5,0.005349289207672903
00036.png,left-cheek,original_roi,0.004391071313007191
00036.png,right-cheek,original_roi,0.004678626988140168
00036.png,bottom-face,original_roi,0.004938606525628215
00036.png,forehead,original_roi,0.005249200089399638
00036.png,under-eyes,original_roi,0.004606929662673645
00036.png,left-cheek,smooth_1_sigma_1.5,0.004574298521172021
00036.png,right-cheek,smooth_1_sigma_1.5,0.004840166707170025
00036.png,bottom-face,smooth_1_sigma_1.5,0.00567245926858823
00036.png,forehead,smooth_1_sigma_1.5,0.006446400469768057
00036.png,under-eyes,smooth_1_sigma_1.5,0.004821800919462746
00036.png,left-cheek,smooth_2_sigma_2.5,0.0046133430362702045
00036.png,right-cheek,smooth_2_sigma_2.5,0.0048717046265873126
00036.png,bottom-face,smooth_2_sigma_2.5,0.00585111540451661
00036.png,forehead,smooth_2_sigma_2.5,0.007048779443234378
00036.png,under-eyes,smooth_2_sigma_2.5,0.004880228343738455
00040.png,left-cheek,original_roi,0.004382493586172472
00040.png,right-cheek,original_roi,0.004845448287976046
00040.png,bottom-face,original_roi,0.00628329515571903
00040.png,forehead,original_roi,0.004107249258356423
00040.png,under-eyes,original_roi,0.005188106436593009
00040.png,left-cheek,smooth_1_sigma_1.5,0.00462731600141635
00040.png,right-cheek,smooth_1_sigma_1.5,0.00527842390366675
00040.png,bottom-face,smooth_1_sigma_1.5,0.008289102480542826
00040.png,forehead,smooth_1_sigma_1.5,0.004364580359979023
00040.png,under-eyes,smooth_1_sigma_1.5,0.005603756099954181
00040.png,left-cheek,smooth_2_sigma_2.5,0.004664124559778419
00040.png,right-cheek,smooth_2_sigma_2.5,0.00535363365082977
00040.png,bottom-face,smooth_2_sigma_2.5,0.008841834550391245
00040.png,forehead,smooth_2_sigma_2.5,0.004418685245494601
00040.png,under-eyes,smooth_2_sigma_2.5,0.00566948359562716
00045.png,left-cheek,original_roi,0.006888945967405434
00045.png,right-cheek,original_roi,0.003933189345150546
00045.png,bottom-face,original_roi,0.005237668572147399
00045.png,forehead,original_roi,0.004888480831723515
00045.png,under-eyes,original_roi,0.005471532326585217
00045.png,left-cheek,smooth_1_sigma_1.5,0.007504552812268948
00045.png,right-cheek,smooth_1_sigma_1.5,0.00419109629415811
00045.png,bottom-face,smooth_1_sigma_1.5,0.005752506478160552
00045.png,forehead,smooth_1_sigma_1.5,0.00541986730472308
00045.png,under-eyes,smooth_1_sigma_1.5,0.006210386226813033
00045.png,left-cheek,smooth_2_sigma_2.5,0.0075888519500258685
00045.png,right-cheek,smooth_2_sigma_2.5,0.004230447887019499
00045.png,bottom-face,smooth_2_sigma_2.5,0.005819360917333528
00045.png,forehead,smooth_2_sigma_2.5,0.0054876764238270745
00045.png,under-eyes,smooth_2_sigma_2.5,0.0064073908005351414
00048.png,left-cheek,original_roi,0.004224978612218288
00048.png,right-cheek,original_roi,0.0047369029935278445
00048.png,bottom-face,original_roi,0.005318553172318726
00048.png,forehead,original_roi,0.003726682423627295
00048.png,under-eyes,original_roi,0.004856891064832476
00048.png,left-cheek,smooth_1_sigma_1.5,0.004401236002052658
00048.png,right-cheek,smooth_1_sigma_1.5,0.004939046742137375
00048.png,bottom-face,smooth_1_sigma_1.5,0.005688689181393661
00048.png,forehead,smooth_1_sigma_1.5,0.003890231529520064
